TYPE,DETAIL,NOM,SURFACE,ECLAIRAGE,OBJECTID,x,y
Jeu modulaire,2-12 ans,,,,227,-8003481.67,5689593.687
Jeu modulaire,5-12 ans,,,,228,-8012144.77,5680517.396
Jeu modulaire,5-12 ans,,,,229,-8013325.844,5681649.37
Jeu modulaire,2-5 ans,,,,230,-8013319.254,5681636.013
Jeu modulaire,2-5 ans,,,,231,-8014885.136,5682944.637
Jeu modulaire,5-12 ans,,,,232,-8014877.024,5682928.88
Jeu modulaire,2-12 ans,,,,233,-8019643.44,5683569.443
Jeu modulaire,2-12 ans,,,,234,-8020860.678,5680209.267
Jeu modulaire,2-12 ans,,,,235,-8009619.857,5684601.022
Jeu modulaire,5-12 ans,,,,236,-8007988.831,5684672.692
Jeu modulaire,2-12 ans,,,,237,-8005794.199,5692917.099
Jeu modulaire,2-5 ans,,,,238,-8005804.405,5692910.835
Jeu modulaire,5-12 ans,,,,239,-7995664.389,5686782.613
Jeu modulaire,2-5 ans,,,,240,-8015206.402,5674909.321
Jeu modulaire,5-12 ans,,,,241,-8013996.833,5674115.656
Jeu modulaire,5-12 ans,,,,242,-8019306.785,5676096.85
Jeu modulaire,2-5 ans,,,,243,-8019314.728,5676076.851
Jeu modulaire,5-12 ans,,,,244,-8019333.936,5676048.388
Jeu modulaire,2-12 ans,,,,245,-8001958.161,5682322.773
Jeu modulaire,5-12 ans,,,,246,-8017704.659,5674491.944
Jeu modulaire,2-5 ans,,,,247,-8017687.252,5674462.106
Jeu modulaire,2-5 ans,,,,248,-8014782.135,5677559.382
Jeu modulaire,5-12 ans,,,,249,-8015008.284,5679688.279
Jeu modulaire,2-5 ans,,,,250,-8015004.762,5679705.971
Jeu modulaire,2-5 ans,,,,251,-8014727.453,5678479.142
Jeu modulaire,2-12 ans,,,,252,-8005577.299,5688092.186
Jeu modulaire,2-5 ans,,,,253,-8012144.175,5680501.331
Jeu modulaire,5-12 ans,,,,254,-7994235.352,5678664.544
Jeu modulaire,2-5 ans,,,,255,-8009989.714,5680305.308
Jeu modulaire,5-12 ans,,,,256,-8010016.384,5680273.948
Jeu modulaire,2-5 ans,,,,257,-8017570.505,5670590.046
Jeu modulaire,2-5 ans,,,,258,-7999828.718,5680526.735
Jeu modulaire,2-5 ans,,,,259,-7998754.922,5681029.159
Jeu modulaire,5-12 ans,,,,260,-7998752.867,5681016.435
Jeu modulaire,5-12 ans,,,,261,-8013775.733,5682840.769
Jeu modulaire,2-5 ans,,,,262,-8003584.509,5680229.606
Jeu modulaire,2-5 ans,,,,263,-8008481.706,5695687.391
Jeu modulaire,2-12 ans,,,,264,-8009172.48,5698050.495
Jeu modulaire,2-5 ans,,,,265,-8009186.622,5698016.69
Jeu modulaire,2-5 ans,,,,266,-8005462.382,5687261.556
Jeu modulaire,5-12 ans,,,,267,-8005468.908,5687267.992
Jeu modulaire,2-5 ans,,,,268,-8005786.56,5683828.746
Jeu modulaire,5-12 ans,,,,269,-7998934.647,5686935.942
Jeu modulaire,2-5 ans,,,,270,-7998926.456,5686955.443
Jeu modulaire,2-5 ans,,,,271,-7997699.392,5688226.523
Jeu modulaire,5-12 ans,,,,272,-7997716.607,5688218.111
Jeu modulaire,2-12 ans,,,,273,-8004288.605,5685022.225
Jeu modulaire,2-5 ans,,,,274,-8000994.775,5686714.285
Jeu modulaire,2-5 ans,,,,275,-8000556.251,5683593.437
Jeu modulaire,2-5 ans,,,,276,-8012017.335,5682382.495
Jeu modulaire,2-12 ans,,,,277,-8006937.258,5683867.221
Jeu modulaire,2-5 ans,,,,278,-8012022.593,5682377.91
Jeu modulaire,5-12 ans,,,,279,-8003086.612,5689526.133
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Couturier 1,Gazon naturel,Non,280,-8001487.322,5688958.081
Soccer,Terrain à 7,André-Viger 1,Gazon naturel,Non,281,-8009363.35,5686466.115
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Saint-Alphonse 1,Gazon naturel,Non,282,-8005623.613,5687188.396
Soccer,Terrain à 9 avec 2 terrains à 7 intégrés,Atto-Beaver 2,Gazon naturel,Oui,283,-7998734.548,5680867.972
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Central 1,Gazon naturel,Non,284,-8014855.058,5677757.984
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Nault 1,Gazon naturel,Oui,285,-8008396.793,5695646.758
Soccer,Terrain à 11 avec 3 terrains à 7 intégrés,Central 3,Gazon naturel,Oui,286,-8015297.449,5677558.828
Soccer,,École de la Montée - pavillon le Ber,Gazon naturel,,287,-8000081.978,5686149.444
Soccer,Terrain à 9,Debonair 2,Gazon naturel,Non,288,-8003052.986,5689603.766
Soccer,,Atto-Beaver 3,Gazon naturel,Non,289,-7998679.738,5680971.669
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Butte-aux-Bouleaux 1,Gazon naturel,Non,290,-8021070.455,5680170.23
Soccer,Terrain à 11,Séminaire Salésien,Gazon naturel,Non,291,-8009622.447,5684512.555
Soccer,Terrain à 11,Bureau 1,Gazon naturel,Oui,292,-8000656.493,5683657.438
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Olympique 3,Gazon naturel,Oui,293,-8002251.743,5686966.331
Soccer,6 terrains à 5,Base de plein air André-Nadeau 1,Gazon naturel,Non,294,-8014045.084,5673990.849
Soccer,Terrain à 7,Saint-Alphonse 2B,Gazon naturel,Oui,295,-8005405.376,5687092.208
Soccer,Terrain à 11,Belvédère 1,Gazon naturel,Oui,296,-8002909.219,5680506.348
Soccer,,Jardins-Fleuris 1,Gazon naturel,Non,297,-7999641.853,5687203.99
Soccer,Terrain à 7,Marie-Reine 1,Gazon naturel,Non,298,-8000250.605,5682985.532
Soccer,,Bishop's College School Gillards,,,299,-7997148.668,5680269.714
Soccer,,Université de Sherbrooke Stade d'athlétisme,,,300,-8007288.969,5680703.271
Soccer,,Université de Sherbrooke Nouveau Concorde,,,301,-8007834.955,5681097.729
Soccer,,Université de Sherbrooke synthétique,,,302,-8007685.706,5680808.286
Soccer,,Bishop's College School Grant,,,303,-7997994.734,5679998.999
Soccer,,École du Phare,,,304,-8002420.749,5681435.824
Soccer,Terrain à 7,André-Viger 2,Gazon naturel,Non,305,-8009377.712,5686401.886
Soccer,Terrain à 11,Arsène-Goyette 1,Gazon naturel,Non,306,-8002519.266,5682223.522
Soccer,Terrain à 9,Atto-Beaver 1,Gazon naturel,Non,307,-7998617.688,5680834.998
Soccer,,École Le Triolet synthétique,,,308,-8009399.178,5681403.627
Soccer,Terrain à 11 avec 4 terrains à 7 intégrés,Central 2 Synthétique,Gazon synthétique,Oui,309,-8015230.228,5677702.747
