type,detail,nom,surface,eclairage,objectid,x,y
soccer,terrain à 7,marie-médiatrice 1,gazon naturel,oui,318,-8009252.043,5682804.043
soccer,terrain à 7,olivier-chauveau 1,gazon naturel,non,319,-8012047.565,5682329.045
soccer,terrain à 11,olympique synthétique 1,gazon synthétique,oui,320,-8001856.237,5686633.138
soccer,terrain à 11 avec 2 terrains à 7 intégrés,olympique 2,gazon naturel,oui,321,-8001805.761,5686408.177
soccer,terrain à 9 avec 2 terrains à 7 intégrés,paul-marin 2,gazon naturel,oui,322,-8007451.062,5682984.695
soccer,terrain à 9,paul-marin 1,gazon naturel,oui,323,-8007320.642,5682955.764
soccer,terrain à 11,quintal 1,gazon naturel,oui,324,-7998457.711,5689643.546
soccer,terrain à 11 avec 2 terrains à 7 intégrés,quintal 2,gazon naturel,oui,325,-7998481.982,5689786.446
soccer,terrain à 11 avec 2 terrains à 7 intégrés,quintal 3,gazon naturel,non,326,-7998580.962,5689485.139
soccer,,université bishop's synthétique coulter field,,,327,-7997314.503,5679210.24
soccer,terrain à 7,saint-alphonse 2a,gazon naturel,oui,328,-8005409.258,5687027.945
soccer,terrain à 11 avec 2 terrains à 7 intégrés,saint-charles-garnier 1,gazon naturel,non,329,-8010232.362,5686851.535
soccer,6 terrains à 5,saint-boniface 1,gazon naturel,non,330,-8007929.051,5684573.207
soccer,,école le triolet 1,,,331,-8008876.76,5681782.579
soccer,,école le triolet 2,,,332,-8008840.972,5682069.625
tennis,nombre de court(s) : 2,,synthétique,oui,333,-8001483.033,5688767.148
tennis,nombre de court(s) : 3,,terre battue,oui,334,-8005900.338,5683864.737
tennis,nombre de court(s) : 2,,synthétique,oui,335,-7999892.528,5688709.004
tennis,nombre de court(s) : 2,,terre battue,oui,336,-8000783.599,5685666.922
tennis,nombre de court(s) : 3,,synthétique,oui,337,-8001035.026,5686834.984
tennis,nombre de court(s) : 2,,asphalte,oui,338,-8013251.355,5681711.78
tennis,nombre de court(s) : 2,,terre battue,oui,339,-8004443.209,5682727.157
tennis,nombre de court(s) : 2,,terre battue,oui,340,-8019306.148,5676005.177
tennis,nombre de court(s) : 3,,synthétique,oui,341,-8002837.722,5680612.252
tennis,nombre de court(s) : 3,,asphalte,oui,342,-8010265.02,5686694.097
tennis,nombre de court(s) : 3,,synthétique,oui,343,-8005401.342,5687189.614
tennis,nombre de court(s) : 3,,terre battue,oui,344,-8007357.308,5682832.669
tennis,nombre de court(s) : ,,asphalte,,345,-8002876.805,5680655.87
tennis,nombre de court(s) : 1,,terre battue,oui,346,-8012146.31,5680590.461
tennis,nombre de court(s) : 1,,terre battue,oui,347,-8017500.777,5670580.622
tennis,nombre de court(s) : 2,,synthétique,oui,348,-7999358.459,5679846.338
tennis,nombre de court(s) : 2,,terre battue,oui,349,-8015907.682,5684612.997
tennis,nombre de court(s) : 2,,terre battue,oui,350,-8003216.267,5689609.551
tennis,nombre de court(s) : 8,,synthétique,oui,351,-8014036.023,5679749.947
tennis,nombre de court(s) : 3,,terre battue,oui,352,-8004735.698,5682242.436
tennis,nombre de court(s) : 3,,terre battue,oui,353,-8009094.851,5682828.561
tennis,nombre de court(s) : 3,,terre battue,oui,354,-8001536.591,5684969.042
tennis,nombre de court(s) : 2,,synthétique,oui,355,-7996595.611,5685894.391
tennis,nombre de court(s) : 1,,asphalte,oui,356,-8017520.329,5670581.341
tennis,nombre de court(s) : 2,,asphalte,oui,357,-8008952.94,5696293.93
tennis,nombre de court(s) : 2,,asphalte,oui,358,-8014711.989,5677659.017
tennis,nombre de court(s) : 2,,terre battue,oui,359,-8014669.009,5677654.497
baseball,,,naturelle,oui,360,-7998385.356,5685751.509
baseball,,,gazon naturel,non,361,-7999768.087,5688619.801
baseball,,,gazon naturel,non,362,-8003965.908,5685674.606
baseball,,,gazon naturel,non,363,-8003962.435,5685793.204
football,,,gazon synthétique,oui,364,-8001840.337,5686577.699
basketball,,,asphalte,non,365,-8000776.409,5685710.398
football,,,gazon naturel,non,366,-8003964.899,5685733.515
baseball,,,naturelle,oui,367,-7998723.853,5689490.909
baseball,,,naturelle,oui,368,-7998900.533,5689504.147
baseball,,,gazon naturel,oui,369,-8001101.463,5686714.301
