OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
3150,003-0104, ,Aire de jeu 18 mois à 5 ans,Lachine,Aire de jeu - enfant
3151,071-0035,0391-000,Sentier pédestre,Ville-Marie,Plein air
3152,004-0003,2794-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
3153,004-0241,0137-000,Aire de jeu  5 à 12 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
3154,004-0235,0166-000,Aire de jeu  5 à 12 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
3155,004-0164,0386-000,Aire de jeu  5 à 12 ans,Ville-Marie,Aire de jeu - enfant
3156,003-0129,0220-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
3157,075-0009,0012-000,Soccer à 4-5,Ahuntsic-Cartierville,Sportif
3158,042-0105,0256-000,Jeux d'eau,Le Sud-Ouest,Récréatif
3159,071-0023,2447-000,Sentier pédestre,Lachine,Plein air
3160,016-0097,2893-000,Balle,Verdun,Sportif
3161,003-0111,2413-000,Aire de jeu 18 mois à 5 ans,Lachine,Aire de jeu - enfant
3162,053-0020,2397-000,Patinoire sans bandes,Lachine,Récréatif
3163,095-0061,0700-000,Pétanque,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
3164,018-0070,2687-000,Basketball,Pierrefonds-Roxboro,Récréatif
3165,018-0027,2396-000,Basketball,Lachine,Récréatif
3166,055-0029,0391-000,Piscine extérieure,Ville-Marie,Récréatif
3167,003-0183,1269-000,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
3168,003-0086,0005-000,Aire de jeu 18 mois à 5 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
3169,012-0059,7000-000,Aire d'entraînement pour adultes,Rosemont-La Petite-Patrie,Loisirs et détente
3170,072-0030,2014-000,Anneau / Rond de glace,Anjou,Loisirs et détente
3171,055-0003,2815-000,Piscine extérieure,Saint-Laurent,Récréatif
3172,095-0010,0236-000,Pétanque,Le Plateau-Mont-Royal,Loisirs et détente
3173,003-0415,0986-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
3174,021-0013,0300-000,Bocce,Rosemont-La Petite-Patrie,Loisirs et détente
3175,089-0029,2396-000,Volleyball de plage,Lachine,Récréatif
3176,074-0028,2855-000,Soccer / Football,Saint-Léonard,Sportif
3177,081-0068,2465-000,Tennis,LaSalle,Sportif
3178,003-0378,1004-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
3179,004-0119,0126-000,Aire de jeu  5 à 12 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
3180,081-0032,2607-000,Tennis,Outremont,Sportif
3181,003-0057,0337-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
